Place Name,State,Latitude,Longitude
"Muni Ki Reti, Rishikesh, Uttarakhand",Not Delhi,30.119858,78.303131
"Kondhwa, Pune, Maharashtra",Not Delhi,18.477091,73.890686
"Kalapather, Ramnas Pura, Hyderabad, Telangana",Not Delhi,17.345316,78.459923
"Mohan Pur, Barrackpore, West Bengal",Not Delhi,22.771290,88.395699
"Sono, Jamui, Bihar",Not Delhi,24.924376,86.220612
"Annai Indira Gandhi Salai, Kanchipuram, Tamil Nadu",Not Delhi,12.837754,79.703430
"Kauwapur, Uttar Pradesh",Not Delhi,25.454666,83.093842
"Akkaravilai, Kappukad, Tamil Nadu",Not Delhi,8.299226,77.202614
"Indira Colony, Vigyan Nagar, Kota, Rajasthan",Not Delhi,25.147743,75.862839
"Ratanpar, Surendranagar, Gujarat",Not Delhi,22.714808,71.628769
"Lohamandi, Agra, Uttar Pradesh",Not Delhi,27.194145,77.973228
"Bhatrewas, Mandsaur, Madhya Pradesh",Not Delhi,24.071531,75.059654
"Sikulpuikawn, Aizawl, Mizoram",Not Delhi,23.717396,92.718117
"Orris Flats, Gurgaon, Haryana",Not Delhi,28.405382,76.952461
"Hussain Nagar, Gorakhpur, Uttar Pradesh",Not Delhi,26.781536,83.397636
Sangam Vihar,Delhi,28.497511,77.240585
"Durga Colony, Roorkee, Uttarakhand",Not Delhi,29.839840,77.918175
"Shera, Godhra, Gujarat",Not Delhi,22.773596,73.613884
"Jain Nagar, Firozabad, Uttar Pradesh",Not Delhi,27.163540,78.385643
"Sadar Bazar, Raipur, Chhattisgarh",Not Delhi,21.236977,81.634331
"Kalamba, Kolhapur, Maharashtra",Not Delhi,16.670483,74.216423
"Andheri, Mumbai",Not Delhi,19.114424,72.867943
"Kundalahalli, Brookefield, Bengaluru, Karnataka",Not Delhi,12.968997,77.720886
"Bhadas, Haryana",Not Delhi,27.941439,77.008942
"Vartak Nagar, Thane, Maharashtra",Not Delhi,19.208258,72.961014
"Alkapuri Colony, Bishundatpur, Muzaffarpur, Bihar",Not Delhi,26.124815,85.353676
"Obra, Uttar Pradesh",Not Delhi,24.474503,82.987785
"Kherai, Madhya Pradesh",Not Delhi,24.394129,77.524681
"Mahaveer Nagar Extension, Mahaveer Nagar, Kota, Rajasthan",Not Delhi,25.137390,75.830879
"Chandapura, Bommasandra, Karnataka",Not Delhi,12.800494,77.713615
"Vijayanagar, Bengaluru, Karnataka",Not Delhi,12.971940,77.532745
"Shiv Shakti Nagar, Indore, Madhya Pradesh",Not Delhi,22.744614,75.890427
"Kamrarmath, Bankura, West Bengal",Not Delhi,23.230600,87.075226
"Banashankari, Bengaluru, Karnataka",Not Delhi,12.925453,77.546761
"Nehru Nagar, Defence Colony, Meerut, Uttar Pradesh",Not Delhi,29.009857,77.744133
"Anaith, Arrah, Bihar 802302",Not Delhi,25.546770,84.667526
"Danavai Peta, Rajamahendravaram, Andhra Pradesh",Not Delhi,17.032101,81.793900
"Uttam Nagar, Hastsal, New Delhi",Delhi,28.636944,77.052849
"Nandanvan Colony, Padegaon, Aurangabad, Maharashtra",Not Delhi,19.890022,75.305504
"Kharadi, Pune, Maharashtra",Not Delhi,18.550985,73.934982
"Kothapeta, Vinukonda, Andhra Pradesh",Not Delhi,16.052683,79.740021
"Lal Darwaja, Ahmedabad, Gujarat",Not Delhi,23.026352,72.581902
"Yerawada, Maharashtra",Not Delhi,18.556032,73.877495
"Langre Ki Chowki, Civil Lines, Agra, Uttar Pradesh",Not Delhi,27.206295,78.027390
"Kanjhawala, New Delhi",Delhi,28.734730,77.004173
"Kankarbagh, Patna, Bihar",Not Delhi,25.593819,85.160530
"Jattan Mohalla, Hoshiarpur, Punjab",Not Delhi,31.535049,75.910110
"New Sohabatia Bagh, Allahabad, Uttar Pradesh",Not Delhi,25.448093,81.867058
"Gola Bazar, Uttar Pradesh",Not Delhi,26.351498,83.343399
"Karve Nagar, Pune, Maharashtra",Not Delhi,18.489759,73.820297
"Perambur, Chennai, Tamil Nadu",Not Delhi,13.116018,80.231667
"Yakubpur, Noida, Uttar Pradesh",Not Delhi,28.523951,77.409950
"Sunderpur, Kurukshetra, Haryana",Not Delhi,29.959480,76.865005
"Dargah Bazar, Ajmer, Rajasthan",Not Delhi,26.460005,74.629799
"Topdara, Ajmer, Rajasthan",Not Delhi,26.458269,74.638405
"Jhandewalan, New Delhi",Delhi,28.647284,77.202835
"Hata Bazar, Hata, Uttar Pradesh",Not Delhi,26.371571,83.469711
"Najafgarh, New Delhi",Delhi,28.609013,76.985451
"Dhilwan, Jalandhar, Punjab",Not Delhi,31.315046,75.645538
"Agroya Nagar, Latur, Maharashtra",Not Delhi,18.411379,76.551811
"Periyar Nagar, Erode, Tamil Nadu",Not Delhi,11.332820,77.724464
"Sector 15A, Faridabad, Haryana",Not Delhi,28.395403,77.315292
"Methal nagar, Ambernath, Thane, Maharashtra",Not Delhi,19.206821,73.202995
"Tarnaka, Secunderabad, Telangana",Not Delhi,17.427999,78.538490
"Bakramandi, Itwari, Nagpur, Maharashtra",Not Delhi,21.158480,79.095932
"Hariyali, Mumbai, Maharashtra",Not Delhi,19.103491,72.930786
"Simada Gam, Surat, Gujarat",Not Delhi,21.221901,72.900063
"Rahara, Kolkata, West Bengal",Not Delhi,22.723703,88.381622
"Chandannagar, West Bengal",Not Delhi,22.864773,88.363258
"Gandhi Chowk, Nagaur, Rajasthan",Not Delhi,27.199755,73.741013
"Dayal Bagh, Agra, Uttar Pradesh",Not Delhi,27.229446,78.007179
"Udwant Nagar, Arrah, Bihar",Not Delhi,25.558577,84.672592
"Tilak Nagar, Khatauli, Uttar Pradesh",Not Delhi,29.276920,77.742348
"Mithila Nagar, Meerpet, Hyderabad, Telangana",Not Delhi,17.327404,78.521362
"Jillelaguda, Hyderabad, Telangana",Not Delhi,17.331709,78.529747
"Pimple Gurav, New Sangavi, Pune, Maharashtra",Not Delhi,18.587120,73.813034
"Morapora, Cooch Behar, West Bengal",Not Delhi,26.323757,89.450188
"Mango, Jamshedpur, Jharkhand",Not Delhi,22.834177,86.219185
