Place Name,State,Latitude,Longitude
"IIFL Mahavir Enclave, New Delhi",Delhi,28.602983,77.078239
"Mahalaxmi Sindhi Colony, Matunga West, Mumbai",Maharashtra,19.028082,72.844902
"Khamla, Nagpur",Maharashtra,21.109221,79.057442
"Khushhalpur, Moradabad",Uttar Pradesh,28.843233,78.73912
"Madina Colony, Falaknuma",Hyderabad,17.33584,78.465958
"Veer Sawarkar Nagar, Indore",Madhya Pradesh,22.700949,75.858482
"Naini, Allahabad",Uttar Pradesh,25.379194,81.877068
"Madinah Mohalla, Balotra",Rajasthan,25.83547,72.244148
Gajandoh F.V.,Madhya Pradesh,21.774109,78.754707
"Sri Krishna Puri, Patna",Bihar,25.609688,85.118111
"Muni Ki Reti, Rishikesh, Uttarakhand",Uttar Pradesh,30.119858,78.303131
"Kondhwa, Pune",Maharashtra,18.477091,73.890686
"Kalapather, Ramnas Pura",Hyderabad,17.345316,78.459923
"Mohan Pur, Barrackpore",West Bengal,22.77129,88.395699
"Sono, Jamui",Bihar,24.924376,86.220612
"Annai Indira Gandhi Salai, Kanchipuram",Tamil Nadu,12.837754,79.70343
Kauwapur,Uttar Pradesh,25.454666,83.093842
"Akkaravilai, Kappukad",Tamil Nadu,8.299226,77.202614
"Indira Colony, Vigyan Nagar, Kota",Rajasthan,25.147743,75.862839
"Ratanpar, Surendranagar",Gujarat,22.714808,71.628769
"Lohamandi, Agra",Uttar Pradesh,27.194145,77.973228
"Bhatrewas, Mandsaur",Madhya Pradesh,24.071531,75.059654
"Sikulpuikawn, Aizawl, Mizoram",Mizoram,23.717396,92.718117
"Orris Flats, Gurgaon, Haryana",Haryana,28.405382,76.952461
"Hussain Nagar, Gorakhpur",Uttar Pradesh,26.781536,83.397636
Sangam Vihar,Delhi,28.497511,77.240585
"Durga Colony, Roorkee, Uttarakhand",Uttar Pradesh,29.83984,77.918175
"Shera, Godhra",Gujarat,22.773596,73.613884
"Jain Nagar, Firozabad",Uttar Pradesh,27.16354,78.385643
"Sadar Bazar, Raipur, Chhattisgarh",Chhattisgarh,21.236977,81.634331
"Kalamba, Kolhapur",Maharashtra,16.670483,74.216423
"Andheri, Mumbai",Maharashtra,19.114424,72.867943
"Kundalahalli, Brookefield, Bengaluru",Karnataka,12.968997,77.720886
"Bhadas, Haryana",Haryana,27.941439,77.008942
"Vartak Nagar, Thane",Maharashtra,19.208258,72.961014
"Alkapuri Colony, Bishundatpur, Muzaffarpur",Bihar,26.124815,85.353676
Obra,Uttar Pradesh,24.474503,82.987785
Kherai,Madhya Pradesh,24.394129,77.524681
"Mahaveer Nagar Extension, Mahaveer Nagar, Kota",Rajasthan,25.13739,75.830879
"Chandapura, Bommasandra",Karnataka,12.800494,77.713615
"Vijayanagar, Bengaluru",Karnataka,12.97194,77.532745
"Shiv Shakti Nagar, Indore",Madhya Pradesh,22.744614,75.890427
"Kamrarmath, Bankura",West Bengal,23.2306,87.075226
"Banashankari, Bengaluru",Karnataka,12.925453,77.546761
"Nehru Nagar, Defence Colony, Meerut",Uttar Pradesh,29.009857,77.744133
"Anaith, Arrah 802302",Bihar,25.54677,84.667526
